N;Procesi;Koraki;Zagon;Cas_s
2048;1;100;1;255.236507
2048;2;100;1;127.848720
2048;4;100;1;64.297491
4096;1;100;1;1357.757949
4096;2;100;1;680.813060
4096;4;100;1;335.383286
